game_date,game_loc,away_team,away_team_score,home_team,home_team_score,total_score,max_temp_C,min_temp_C,precipitation_mm,max_wind_speed_kmh,dominant_wind_dir_deg
2022-05-05,Minute Maid Park,Detroit Tigers,2,Houston Astros,3,5,6.8,-2.0,0.0,9.7,56.0
2022-05-05,American Family Field,Cincinnati Reds,5,Milwaukee Brewers,10,15,28.1,20.6,0.2,51.5,331.0
2022-05-05,Citizens Bank Park,New York Mets,8,Philadelphia Phillies,7,15,8.1,1.3,6.6,8.3,358.0
2022-05-05,Petco Park,Miami Marlins,1,San Diego Padres,2,3,29.3,16.2,0.0,16.9,161.0
2022-05-05,T-Mobile Park,Tampa Bay Rays,4,Seattle Mariners,3,7,10.9,2.9,11.7,18.7,348.0
2022-05-05,Oracle Park,St. Louis Cardinals,7,San Francisco Giants,1,8,15.6,13.4,0.0,39.3,178.0
2022-05-06,Angel Stadium of Anaheim,Washington Nationals,0,Los Angeles Angels,3,3,30.1,16.5,0.0,15.9,147.0
2022-05-06,Chase Field,Colorado Rockies,1,Arizona Diamondbacks,4,5,37.3,18.3,0.0,17.1,237.0
2022-05-06,Truist Park,Milwaukee Brewers,6,Atlanta Braves,3,9,8.7,-3.4,1.5,28.7,322.0
2022-05-06,Fenway Park,Chicago White Sox,4,Boston Red Sox,2,6,6.5,-1.8,3.7,9.5,212.0
2022-05-06,Minute Maid Park,Detroit Tigers,2,Houston Astros,3,5,8.5,-1.1,0.0,11.1,56.0
2022-05-06,Target Field,Oakland Athletics,1,Minnesota Twins,2,3,12.6,7.5,0.1,16.8,120.0
2022-05-06,Petco Park,Miami Marlins,2,San Diego Padres,3,5,30.5,17.1,0.0,16.6,151.0
2022-05-06,T-Mobile Park,Tampa Bay Rays,8,Seattle Mariners,7,15,11.2,1.6,0.3,22.8,314.0
2022-05-06,Oracle Park,St. Louis Cardinals,3,San Francisco Giants,2,5,14.0,11.1,0.5,37.9,115.0
2022-05-07,Angel Stadium of Anaheim,Washington Nationals,7,Los Angeles Angels,3,10,22.8,14.7,0.0,28.0,65.0
2022-05-07,Chase Field,Colorado Rockies,4,Arizona Diamondbacks,1,5,38.3,19.8,0.0,28.8,222.0
2022-05-07,Truist Park,Milwaukee Brewers,2,Atlanta Braves,3,5,8.2,-3.0,1.8,25.1,34.0
2022-05-07,Fenway Park,Chicago White Sox,3,Boston Red Sox,1,4,8.8,-3.3,0.4,7.8,217.0
2022-05-07,Wrigley Field,Los Angeles Dodgers,7,Chicago Cubs,0,7,26.1,14.0,0.0,18.7,91.0
2022-05-07,Wrigley Field,Los Angeles Dodgers,6,Chicago Cubs,2,8,26.1,14.0,0.0,18.7,91.0
2022-05-07,Great American Ball Park,Pittsburgh Pirates,2,Cincinnati Reds,9,11,31.3,20.3,0.0,33.9,84.0
2022-05-07,Great American Ball Park,Pittsburgh Pirates,8,Cincinnati Reds,5,13,31.3,20.3,0.0,33.9,84.0
2022-05-07,Progressive Field,Toronto Blue Jays,8,Cleveland Guardians,3,11,25.0,13.9,0.2,17.0,353.0
